datetime,geracao_solar_kwh,consumo_kwh,reserva_bateria_pct,temp_externa_c,temp_interna_c,radiacao_msv,oxigenio,energia,comunicacao,habitat,pressao,combustivel
2026-01-01 00:00,3.2,40.5,70.5,-111.1,24.2,0.219,1,1,1,1,1,1
2026-01-01 04:00,0.13,43.98,78.0,-98.2,20.5,0.197,1,1,1,1,1,1
2026-01-01 08:00,29.71,46.73,66.9,-116.1,24.9,0.201,1,1,1,1,1,1
2026-01-01 12:00,86.59,52.37,82.2,-96.9,23.9,0.061,1,1,1,1,1,1
2026-01-01 16:00,27.57,47.3,72.4,-111.6,20.9,0.284,1,1,1,1,1,1
2026-01-01 20:00,4.95,52.8,76.1,-92.6,24.9,0.244,1,1,1,1,1,1
2026-01-02 00:00,4.38,46.29,78.1,-104.2,25.4,0.165,1,1,1,1,1,1
2026-01-02 04:00,2.0,44.39,85.0,-99.6,19.6,0.062,1,1,1,1,1,1
2026-01-02 08:00,29.97,50.58,84.4,-85.6,19.1,0.23,1,1,1,1,1,1
2026-01-02 12:00,79.07,59.08,82.5,-109.5,22.5,0.095,1,1,1,1,1,1
2026-01-02 16:00,28.42,50.79,80.6,-98.8,19.0,0.131,1,1,1,1,1,1
2026-01-02 20:00,4.39,58.94,66.7,-100.6,19.5,0.24,1,1,1,1,1,1
2026-01-03 00:00,2.12,44.24,75.8,-90.8,20.4,0.128,1,1,1,1,1,1
2026-01-03 04:00,1.69,51.77,69.6,-111.2,19.5,0.208,1,1,1,1,1,1
2026-01-03 08:00,24.76,42.65,83.7,-97.2,22.3,0.246,1,1,1,1,1,1
2026-01-03 12:00,84.58,53.47,84.7,-116.1,21.8,0.135,1,1,1,1,1,1
2026-01-03 16:00,25.0,58.47,73.9,-85.5,22.9,0.063,1,1,1,1,1,1
2026-01-03 20:00,2.43,44.27,73.0,-117.7,21.7,0.296,1,1,1,1,1,1
2026-01-04 00:00,2.78,54.37,68.1,-108.1,25.8,0.195,1,1,1,1,1,1
2026-01-04 04:00,0.79,59.22,66.6,-112.6,23.2,0.219,1,1,1,1,1,1
2026-01-04 08:00,26.13,51.67,75.5,-82.6,20.4,0.229,1,1,1,1,1,1
2026-01-04 12:00,71.45,49.17,85.0,-80.2,19.5,0.103,1,1,1,1,1,1
2026-01-04 16:00,28.89,54.07,77.2,-80.5,23.6,0.052,1,1,1,1,1,1
2026-01-04 20:00,0.54,51.06,70.4,-95.8,24.0,0.101,1,1,1,1,1,1
2026-01-05 00:00,2.12,45.53,65.1,-89.2,23.5,0.115,1,1,1,1,1,1
2026-01-05 04:00,4.52,50.91,81.7,-96.7,20.0,0.082,1,1,1,1,1,1
2026-01-05 08:00,25.0,42.06,80.6,-84.6,21.8,0.205,1,1,1,1,1,1
2026-01-05 12:00,70.5,54.73,71.6,-82.8,24.6,0.266,1,1,1,1,1,1
2026-01-05 16:00,24.82,56.33,74.2,-107.8,24.6,0.107,1,1,1,1,1,1
2026-01-05 20:00,3.21,47.99,84.6,-98.6,25.6,0.079,1,1,1,1,1,1
2026-01-06 00:00,3.64,46.27,77.1,-99.5,21.7,0.194,1,1,0,1,1,1
2026-01-06 04:00,3.71,53.41,72.3,-117.2,23.6,0.133,1,1,1,1,1,1
2026-01-06 08:00,26.02,45.91,67.5,-103.2,25.6,0.219,1,1,1,1,0,1
2026-01-06 12:00,78.6,51.6,78.1,-101.4,22.1,0.103,1,1,1,1,1,1
2026-01-06 16:00,27.55,46.7,81.4,-90.0,23.7,0.106,1,1,1,1,1,1
2026-01-06 20:00,2.07,52.6,68.9,-92.1,22.5,0.111,1,0,1,1,1,1
2026-01-07 00:00,0.88,59.16,75.4,-118.0,20.7,0.262,1,1,1,1,1,1
2026-01-07 04:00,4.46,52.25,79.4,-99.8,24.8,0.187,1,1,1,1,1,1
2026-01-07 08:00,28.44,50.43,77.5,-109.0,19.5,0.121,1,1,1,1,1,1
2026-01-07 12:00,84.13,41.28,73.2,-98.3,21.9,0.102,1,1,1,1,1,1
2026-01-07 16:00,25.87,40.12,72.0,-89.9,25.0,0.288,1,1,1,1,1,1
2026-01-07 20:00,2.18,40.58,71.7,-92.8,21.8,0.091,1,1,1,1,1,1
2026-01-08 00:00,0.14,52.85,67.7,-101.5,19.4,0.145,1,1,1,1,1,1
2026-01-08 04:00,1.26,41.64,65.4,-98.4,26.0,0.137,1,1,1,1,1,1
2026-01-08 08:00,23.47,43.05,67.5,-93.2,22.9,0.104,1,1,1,1,1,1
2026-01-08 12:00,86.39,59.29,67.2,-119.0,21.2,0.219,1,1,1,1,1,1
2026-01-08 16:00,24.01,55.45,82.0,-96.0,19.8,0.296,1,1,1,1,1,1
2026-01-08 20:00,4.25,56.45,67.1,-81.6,23.4,0.257,1,1,1,1,1,1
2026-01-09 00:00,2.69,49.67,73.7,-90.8,20.9,0.263,1,1,1,1,1,1
2026-01-09 04:00,1.89,40.57,82.0,-112.7,20.5,0.249,1,1,1,1,1,1
2026-01-09 08:00,980.0,54.4,74.8,-89.7,23.8,0.211,1,1,1,1,1,1
2026-01-09 12:00,81.63,49.47,75.6,-103.0,24.2,0.133,1,1,1,1,1,1
2026-01-09 16:00,26.91,55.24,68.7,-111.3,22.4,0.231,1,1,1,1,1,1
2026-01-09 20:00,0.9,40.28,75.7,-109.0,25.8,0.188,1,1,1,1,1,1
2026-01-10 00:00,2.35,48.81,68.7,-117.9,25.6,0.169,1,1,1,1,1,1
2026-01-10 04:00,2.81,46.08,84.9,-115.3,24.4,0.202,1,1,1,1,1,1
2026-01-10 08:00,29.93,46.11,77.4,-95.6,24.2,0.287,1,1,1,1,1,1
2026-01-10 12:00,70.05,49.01,76.9,-108.3,20.6,0.227,1,1,1,1,1,1
2026-01-10 16:00,27.74,58.67,73.5,-98.2,23.5,0.277,1,1,1,1,1,1
2026-01-10 20:00,1.44,42.49,78.8,-92.0,25.6,0.175,1,1,1,1,1,1
2026-01-11 00:00,0.46,59.24,81.7,-97.0,25.7,0.3,1,1,1,1,1,1
2026-01-11 04:00,4.58,43.63,76.7,-94.6,22.4,0.073,1,1,1,1,1,1
2026-01-11 08:00,25.25,58.9,81.3,-98.0,22.2,0.129,1,1,1,1,1,1
2026-01-11 12:00,80.85,48.26,68.8,-105.5,24.3,0.206,1,1,1,1,1,1
2026-01-11 16:00,24.14,59.46,77.2,-110.4,20.1,0.188,1,1,1,1,1,1
2026-01-11 20:00,4.16,49.97,79.3,-99.6,20.9,0.259,1,1,1,1,1,1
2026-01-12 00:00,4.4,57.28,70.5,-88.4,21.9,0.284,1,1,1,1,1,1
2026-01-12 04:00,2.45,42.97,75.8,-106.2,22.9,0.186,1,1,1,1,1,1
2026-01-12 08:00,28.5,40.87,79.9,-91.8,24.7,0.147,1,1,1,1,1,1
2026-01-12 12:00,81.8,57.39,82.5,-102.4,22.7,0.164,1,1,1,1,1,1
2026-01-12 16:00,25.59,53.85,78.0,-85.9,25.0,0.265,1,1,1,1,1,1
2026-01-12 20:00,0.34,52.62,83.4,-80.1,24.2,0.158,1,1,1,1,1,1
2026-01-13 00:00,0.23,55.92,70.9,-105.0,20.0,0.183,1,1,1,1,1,1
2026-01-13 04:00,1.2,58.26,67.9,-101.6,20.8,0.114,1,1,1,1,1,1
2026-01-13 08:00,25.64,51.75,77.8,-103.0,20.8,0.261,1,1,1,1,1,1
2026-01-13 12:00,89.85,45.9,84.6,-93.7,20.9,0.191,1,1,1,1,1,1
2026-01-13 16:00,25.24,55.98,77.1,-105.9,23.5,0.205,1,1,1,1,1,1
2026-01-13 20:00,3.23,46.18,73.8,-96.8,24.1,0.073,1,1,1,1,1,1
2026-01-14 00:00,2.65,58.27,81.6,-109.7,24.8,0.17,1,1,1,1,1,1
2026-01-14 04:00,4.83,57.2,79.5,-80.8,25.8,0.251,1,1,1,1,1,1
2026-01-14 08:00,27.82,51.69,81.4,-82.4,19.8,0.108,1,1,1,1,1,1
2026-01-14 12:00,86.48,58.19,71.0,-103.7,20.0,0.287,1,1,1,1,1,1
2026-01-14 16:00,27.8,54.86,83.9,-103.2,24.2,0.089,1,1,1,1,1,1
2026-01-14 20:00,1.85,48.87,84.0,-85.8,19.7,0.221,1,1,1,1,1,1
2026-01-15 00:00,4.24,49.09,78.3,-94.3,23.2,0.055,1,1,1,1,1,1
2026-01-15 04:00,1.04,44.32,82.4,-106.9,20.0,0.275,0,1,1,1,1,1
2026-01-15 08:00,27.74,40.52,65.3,-88.4,20.7,0.131,1,1,1,1,1,1
2026-01-15 12:00,85.56,50.26,67.2,-99.8,25.6,0.061,1,1,1,1,1,1
2026-01-15 16:00,26.53,48.03,78.7,-100.4,25.4,0.068,1,1,1,1,1,1
2026-01-15 20:00,1.63,59.89,75.6,-101.9,23.2,0.075,1,1,1,1,1,1
2026-01-16 00:00,2.26,44.57,71.8,-101.9,21.9,0.074,1,1,1,1,1,1
2026-01-16 04:00,4.16,41.86,66.9,-90.4,24.7,0.189,1,1,1,1,1,1
2026-01-16 08:00,28.34,57.36,79.4,-81.3,23.2,0.138,1,1,1,1,1,1
2026-01-16 12:00,77.35,55.25,76.5,-87.7,24.9,0.294,1,1,1,1,1,1
2026-01-16 16:00,25.12,43.61,79.1,-107.6,21.4,0.052,1,1,1,1,1,1
2026-01-16 20:00,3.73,44.3,73.4,-106.4,21.6,0.23,1,1,1,1,1,1
2026-01-17 00:00,3.37,45.44,78.2,-100.6,22.1,0.118,1,1,1,1,1,1
2026-01-17 04:00,3.34,40.91,72.9,-96.0,19.1,0.125,1,1,1,1,1,1
2026-01-17 08:00,24.5,47.6,79.1,-100.0,24.8,0.252,1,1,1,1,1,1
2026-01-17 12:00,81.52,51.47,79.2,-103.3,19.8,0.055,1,1,1,1,1,1
2026-01-17 16:00,28.96,44.87,76.8,-99.0,21.8,0.128,1,1,1,1,1,1
2026-01-17 20:00,4.53,46.99,79.5,-87.2,24.7,0.109,1,1,1,1,1,1
2026-01-18 00:00,3.86,49.88,80.1,-89.6,22.1,0.281,1,1,1,1,1,1
2026-01-18 04:00,0.34,48.84,71.1,-109.0,19.4,0.177,1,1,1,1,1,1
2026-01-18 08:00,29.04,52.3,75.1,-101.5,22.9,0.248,1,1,1,1,1,1
2026-01-18 12:00,73.02,41.24,67.1,-84.0,21.4,0.229,1,1,1,1,1,1
2026-01-18 16:00,24.39,47.46,70.7,-103.6,21.4,0.199,1,1,1,1,1,1
2026-01-18 20:00,3.62,53.13,83.1,-85.1,21.3,0.196,1,1,1,1,1,1
2026-01-19 00:00,4.69,46.19,72.5,-88.3,24.7,0.218,1,1,1,1,1,1
2026-01-19 04:00,1.81,47.25,68.6,-111.4,25.6,0.172,1,1,1,1,1,1
2026-01-19 08:00,28.9,57.67,65.8,-106.5,24.4,0.083,1,1,1,1,1,1
2026-01-19 12:00,78.75,48.22,78.5,-110.5,22.1,0.121,1,1,1,1,1,1
2026-01-19 16:00,28.9,47.36,83.9,-80.6,22.2,0.12,1,1,1,1,1,1
2026-01-19 20:00,1.25,52.82,82.5,-97.8,19.7,0.261,1,1,1,1,1,1
2026-01-20 00:00,2.19,58.93,69.4,-102.0,21.4,0.057,1,1,1,1,1,1
2026-01-20 04:00,4.65,56.78,78.0,-88.3,20.0,0.122,1,1,1,1,1,0
2026-01-20 08:00,23.86,45.12,81.7,-98.0,24.1,0.182,1,1,1,1,1,1
2026-01-20 12:00,79.14,42.22,83.1,-96.1,19.1,0.179,1,1,1,1,1,1
2026-01-20 16:00,27.76,41.71,84.5,-117.3,22.7,0.177,1,1,1,1,1,1
2026-01-20 20:00,1.27,40.32,80.8,-106.2,24.1,0.207,1,1,1,1,1,1
2026-01-21 00:00,0.88,55.58,74.3,-92.2,23.4,0.253,1,1,1,1,1,1
2026-01-21 04:00,0.21,58.67,75.3,-80.4,22.8,0.113,1,1,1,1,1,1
2026-01-21 08:00,24.16,47.36,82.8,-90.3,25.3,0.147,1,1,1,1,1,1
2026-01-21 12:00,84.54,41.58,77.0,-87.1,22.8,0.13,1,1,1,1,1,1
2026-01-21 16:00,25.68,40.85,82.4,-105.9,26.0,0.119,1,1,1,1,1,1
2026-01-21 20:00,3.4,59.06,67.9,-95.7,24.5,0.059,1,1,1,1,1,1
2026-01-22 00:00,3.4,58.98,72.4,-89.5,23.0,0.182,1,1,1,1,1,1
2026-01-22 04:00,1.93,51.23,70.2,-109.6,22.1,0.299,1,1,1,1,1,1
2026-01-22 08:00,29.32,48.9,66.8,-92.7,24.9,0.13,1,1,1,1,1,1
2026-01-22 12:00,88.55,52.75,80.9,-99.6,19.8,0.1,1,1,1,1,1,1
2026-01-22 16:00,27.01,52.24,66.7,-107.6,26.0,0.23,1,1,1,1,1,1
2026-01-22 20:00,2.25,53.6,71.9,-84.9,24.5,0.21,1,1,1,1,1,1
2026-01-23 00:00,0.77,43.29,71.5,-91.6,21.4,0.285,1,1,1,1,1,1
2026-01-23 04:00,1.51,50.67,75.1,-113.3,25.6,0.089,1,1,1,1,1,1
2026-01-23 08:00,23.52,40.91,77.8,-96.9,23.6,0.242,1,1,1,1,1,1
2026-01-23 12:00,79.66,56.09,78.7,-108.1,19.5,0.065,1,1,1,1,1,1
2026-01-23 16:00,28.23,57.22,84.5,-114.8,21.6,0.19,1,1,1,1,1,1
2026-01-23 20:00,1.92,52.31,70.0,-85.4,20.1,0.132,1,1,1,1,1,1
2026-01-24 00:00,1.54,40.46,83.9,-99.8,25.8,0.104,1,1,1,1,1,1
2026-01-24 04:00,2.68,56.94,73.6,-84.7,24.1,0.241,1,1,1,1,1,1
2026-01-24 08:00,26.7,55.29,70.6,-80.4,23.8,0.08,1,1,1,1,1,1
2026-01-24 12:00,73.98,50.18,75.0,-118.2,20.0,0.133,1,1,1,1,1,1
2026-01-24 16:00,24.42,59.81,79.8,-108.0,21.4,0.257,1,1,1,1,1,1
2026-01-24 20:00,4.9,51.67,80.9,-91.0,23.8,0.057,1,1,1,1,1,1
2026-01-25 00:00,2.92,43.41,77.6,-95.2,24.9,0.087,1,1,1,1,1,1
2026-01-25 04:00,0.76,53.81,73.2,-89.0,25.4,0.268,1,1,1,1,1,1
2026-01-25 08:00,26.84,46.28,68.5,-83.5,21.4,0.139,1,1,1,1,1,1
2026-01-25 12:00,74.93,51.16,69.5,-81.1,21.1,0.122,1,1,1,1,1,1
2026-01-25 16:00,25.16,42.44,78.5,-104.8,25.9,0.255,1,1,1,1,1,1
2026-01-25 20:00,2.21,45.13,74.6,-111.9,22.8,0.283,1,1,1,1,1,1
2026-01-26 00:00,2.66,52.76,66.0,-103.5,24.0,0.075,1,0,1,1,1,1
2026-01-26 04:00,4.39,49.55,69.0,-81.4,21.2,0.211,1,1,1,1,1,1
2026-01-26 08:00,29.42,43.5,82.6,-113.0,25.4,0.299,1,1,1,1,1,1
2026-01-26 12:00,70.19,51.36,67.1,-80.7,21.0,0.297,1,1,1,1,1,1
2026-01-26 16:00,24.08,43.25,74.2,-109.7,20.3,0.234,1,1,1,1,1,1
2026-01-26 20:00,4.13,50.31,66.7,-93.2,20.3,0.085,1,1,1,1,1,1
2026-01-27 00:00,1.51,54.46,65.2,-93.9,23.8,0.066,1,1,1,1,1,1
2026-01-27 04:00,1.55,42.35,83.3,-108.2,23.3,0.105,1,1,1,1,1,1
2026-01-27 08:00,26.47,50.75,78.3,-111.3,20.7,0.239,1,1,1,1,1,1
2026-01-27 12:00,71.24,50.95,75.1,-97.1,20.0,0.132,1,1,1,1,1,1
2026-01-27 16:00,28.72,49.07,75.3,-101.7,19.4,0.166,1,1,1,1,1,1
2026-01-27 20:00,0.23,46.89,66.3,-80.2,25.5,0.067,1,1,1,1,1,1
2026-01-28 00:00,3.23,48.41,84.9,-104.7,25.1,0.277,1,1,1,1,1,1
2026-01-28 04:00,0.89,50.75,75.6,-90.9,20.6,0.051,1,1,1,1,1,1
2026-01-28 08:00,24.98,46.92,70.5,-82.5,24.1,0.078,1,1,1,1,1,1
2026-01-28 12:00,72.02,40.67,77.0,-91.9,19.3,0.235,1,1,1,1,1,1
2026-01-28 16:00,25.26,56.32,79.6,-107.2,23.2,0.218,1,1,1,1,1,1
2026-01-28 20:00,0.3,58.97,82.6,-83.5,23.4,0.157,1,1,1,1,1,1
2026-01-29 00:00,2.08,42.98,72.5,-89.8,22.3,0.262,1,1,1,1,1,1
2026-01-29 04:00,2.79,42.68,69.9,-111.9,23.5,0.281,1,1,1,1,1,1
2026-01-29 08:00,27.35,57.47,68.8,-89.5,24.1,0.19,1,1,1,1,1,1
2026-01-29 12:00,89.24,42.35,85.0,-100.8,20.7,0.201,1,1,1,1,1,1
2026-01-29 16:00,25.73,45.23,75.3,-100.1,19.7,0.295,1,1,1,1,1,1
2026-01-29 20:00,1.11,42.92,70.2,-82.6,23.1,0.154,1,1,1,1,1,1
2026-01-30 00:00,3.42,45.15,81.4,-81.3,23.5,0.173,1,1,1,1,1,1
2026-01-30 04:00,2.71,52.84,66.2,-118.6,24.9,0.286,1,1,1,1,1,1
2026-01-30 08:00,23.39,50.11,72.5,-95.3,23.7,0.204,1,1,1,1,1,1
2026-01-30 12:00,75.49,59.55,65.3,-87.5,23.7,0.252,1,1,1,1,1,1
2026-01-30 16:00,28.77,45.35,72.9,-105.1,21.8,0.191,1,1,1,1,1,1
2026-01-30 20:00,3.8,41.87,72.6,-97.9,19.4,0.052,1,1,1,1,1,1
2026-01-31 00:00,0.48,50.56,65.9,-111.5,25.1,0.272,1,1,1,1,1,1
2026-01-31 04:00,0.16,58.58,71.3,-81.5,23.1,0.238,1,1,1,1,1,1
2026-01-31 08:00,25.93,57.93,71.6,-89.8,20.0,0.297,1,1,1,1,1,1
2026-01-31 12:00,76.81,55.38,84.1,-104.1,24.4,0.057,1,1,1,1,1,1
2026-01-31 16:00,27.86,53.21,66.7,-95.3,24.6,0.228,1,1,1,1,1,1
2026-01-31 20:00,0.53,40.1,71.2,-105.6,20.9,0.083,1,1,1,1,1,1
2026-02-01 00:00,0.47,51.96,66.5,-114.6,21.0,0.197,1,1,1,1,1,1
2026-02-01 04:00,1.9,42.78,66.0,-110.3,19.4,0.209,1,1,1,1,1,1
2026-02-01 08:00,25.63,43.91,62.1,-117.8,25.6,0.183,1,1,1,1,1,1
2026-02-01 12:00,84.48,42.72,66.4,-92.1,20.4,0.179,1,1,1,1,1,1
2026-02-01 16:00,23.28,47.52,76.3,-114.3,19.8,0.241,1,1,1,1,1,1
2026-02-01 20:00,3.54,48.77,65.8,-102.3,24.7,0.299,1,1,1,1,1,1
2026-02-02 00:00,3.95,41.48,79.8,-110.8,21.8,0.227,1,1,1,1,1,1
2026-02-02 04:00,2.68,52.76,61.7,-99.2,23.6,0.189,1,1,1,1,1,1
2026-02-02 08:00,28.1,48.61,60.2,-119.7,22.6,0.23,1,1,1,1,1,1
2026-02-02 12:00,75.01,46.9,60.5,-125.8,21.9,0.34,1,1,1,1,1,1
2026-02-02 16:00,24.89,49.52,68.8,-102.1,21.2,0.175,1,1,1,1,1,1
2026-02-02 20:00,4.92,44.88,63.5,-123.6,22.9,0.34,1,1,1,1,1,1
2026-02-03 00:00,3.07,43.95,71.8,-114.4,23.9,0.151,1,1,1,1,1,1
2026-02-03 04:00,1.63,49.15,65.2,-95.5,22.7,0.26,1,1,1,1,1,1
2026-02-03 08:00,27.09,54.12,65.9,-105.4,19.6,0.133,1,1,1,1,1,1
2026-02-03 12:00,67.76,47.67,63.7,-104.6,23.9,0.261,1,1,1,1,1,1
2026-02-03 16:00,22.02,47.18,60.2,-124.5,24.7,0.341,1,1,1,1,1,1
2026-02-03 20:00,0.41,40.62,75.2,-118.3,20.9,0.234,1,1,1,1,1,1
2026-02-04 00:00,0.57,55.5,76.5,-115.3,24.8,0.11,1,1,1,1,1,1
2026-02-04 04:00,1.49,59.99,69.0,-116.1,24.7,0.21,1,1,1,1,1,1
2026-02-04 08:00,26.41,52.66,63.3,-124.4,20.4,0.152,1,1,1,1,1,1
2026-02-04 12:00,70.79,45.35,77.2,-90.6,23.8,0.124,1,1,1,1,1,1
